LEA,SCHOOL_NAME,1617_ACT_COMP,1718_ACT_COMP,1819_ACT_COMP,1920_ACT_COMP,2021_ACT_COMP,2122_ACT_COMP,2223_ACT_COMP,1617_ESSA,1718_ESSA,1819_ESSA,2021_ESSA,2122_ESSA,2223_ESSA,1617_SQSS,1718_SQSS,1819_SQSS,2021_SQSS,2122_SQSS,2223_SQSS
6505009,St. Joe Elementary School,N/A,N/A,N/A,N/A,N/A,N/A,N/A,70.06,N/A,N/A,N/A,N/A,N/A,52.43,N/A,N/A,N/A,N/A,N/A
6505010,St. Joe High School,19.55,N/A,N/A,N/A,N/A,N/A,N/A,71.33,N/A,N/A,N/A,N/A,N/A,58.39,N/A,N/A,N/A,N/A,N/A
6505011,Bruno-Pyatt High School,16.69,N/A,N/A,N/A,N/A,N/A,N/A,65.34,N/A,N/A,N/A,N/A,N/A,50.41,N/A,N/A,N/A,N/A,N/A
6505012,Bruno-Pyatt Elementary School,N/A,N/A,N/A,N/A,N/A,N/A,N/A,69.38,N/A,N/A,N/A,N/A,N/A,65.18,N/A,N/A,N/A,N/A,N/A
6505013,Western Grove Elem. School,N/A,N/A,N/A,N/A,N/A,N/A,N/A,62.65,N/A,N/A,N/A,N/A,N/A,45.89,N/A,N/A,N/A,N/A,N/A
6505014,Western Grove High School,17.75,N/A,N/A,N/A,N/A,N/A,N/A,61.74,N/A,N/A,N/A,N/A,N/A,41.8,N/A,N/A,N/A,N/A,N/A
6601001,Ballman Elementary School,N/A,N/A,N/A,N/A,N/A,N/A,N/A,70.87,79.25,74.33,69.46,69.16,70.13,54.51,58.15,55.64,52.28,48.56,50.68
6601002,Barling Elementary School,N/A,N/A,N/A,N/A,N/A,N/A,N/A,79.25,71.81,72.7,68.59,69.31,67.24,61.08,53.81,58.18,51.6,48.49,45.83
6601003,Beard Elementary School,N/A,N/A,N/A,N/A,N/A,N/A,N/A,80.22,77.48,73.64,71.68,75.67,65.87,62.88,57.54,55.49,51.95,55.66,42.6
6601005,Belle Point Alternative Center,15.5,15.5,13,12.33,15.33,16.33,N/A,33.82,39.47,33.43,32.72,31.75,30.93,15.48,14.76,17.5,19.95,13.47,14.13
6601006,Bonneville Elementary School,N/A,N/A,N/A,N/A,N/A,N/A,N/A,76.03,74.3,73.71,72.16,71.62,66.55,55.76,54.61,58.63,56.53,50.08,47.91
6601007,Carnall Elementary School,N/A,N/A,N/A,N/A,N/A,N/A,N/A,70.25,65.91,69.14,68.12,59.77,59.51,48.66,47.12,52.64,48.13,36.54,37.91
6601008,Cavanaugh Elementary School,N/A,N/A,N/A,N/A,N/A,N/A,N/A,83.99,79.19,78.12,77.75,75.03,70.58,65.07,61.25,65.15,56.99,52.81,44.72
6601010,Fairview Elementary School,N/A,N/A,N/A,N/A,N/A,N/A,N/A,79.16,78.58,77.39,71.78,64.56,68.49,59.69,56.37,59.51,52.14,45.88,47.72
6601011,Howard Elementary School,N/A,N/A,N/A,N/A,N/A,N/A,N/A,67.57,66.56,66.52,61.25,59.78,63.36,49.36,44.56,46.53,40.12,42.29,45.9
6601012,Raymond F. Orr Elem. School,N/A,N/A,N/A,N/A,N/A,N/A,N/A,75.02,70.26,66.64,66.23,61.88,62.08,57.34,53.22,51.89,49.87,40.85,39.66
6601014,Albert Pike Elementary School,N/A,N/A,N/A,N/A,N/A,N/A,N/A,72.49,69.1,65.38,61.1,58.61,62.33,55.58,51.32,49.87,43.71,37.48,41.54
6601016,Spradling Elementary School,N/A,N/A,N/A,N/A,N/A,N/A,N/A,72.95,72.48,68.42,65.34,64.08,63.1,54.25,54.29,46.82,45.19,36.93,38.92
6601017,Sunnymede Elementary School,N/A,N/A,N/A,N/A,N/A,N/A,N/A,68.93,67.78,69.49,62.95,61.85,63.17,55.61,52.88,53.34,43.08,40.53,38.37
6601018,Sutton Elementary School,N/A,N/A,N/A,N/A,N/A,N/A,N/A,72.3,69.81,66.83,59.79,57.59,59.19,51.37,49.59,50.41,42.43,37.26,37.34
6601019,Trusty Elementary School,N/A,N/A,N/A,N/A,N/A,N/A,N/A,66.99,63.82,58.62,58.22,60.29,61.14,47.05,42.34,40.52,35.38,32.99,35.88
6601020,L. A. Chaffin Jr. High School,N/A,N/A,N/A,N/A,N/A,N/A,N/A,84.37,84.1,82.23,77.43,79.9,80.55,69.17,68.76,68.49,62.02,59.42,59.71
6601021,William O. Darby Jr. High Sch.,N/A,N/A,N/A,N/A,N/A,N/A,N/A,68.54,66.75,66.67,59.69,61.17,60.34,51.81,51.36,51.19,41.63,40.41,39.42
6601022,Dora Kimmons Jr. High School,N/A,N/A,N/A,N/A,N/A,N/A,N/A,62.42,64.76,65.97,62.25,62.42,60.79,47.46,49.49,50.28,46.75,40.45,38.32
