LEA,SCHOOL_NAME,1617_ACT_COMP,1718_ACT_COMP,1819_ACT_COMP,1920_ACT_COMP,2021_ACT_COMP,2122_ACT_COMP,2223_ACT_COMP,1617_ESSA,1718_ESSA,1819_ESSA,2021_ESSA,2122_ESSA,2223_ESSA,1617_SQSS,1718_SQSS,1819_SQSS,2021_SQSS,2122_SQSS,2223_SQSS
7203018,Ramay Junior High School,N/A,N/A,N/A,N/A,N/A,N/A,N/A,74.99,69.13,69.97,62.28,62.82,65.54,57,54.06,54.64,45.49,42.37,45.36
7203019,Woodland Junior High School,N/A,N/A,N/A,N/A,N/A,N/A,N/A,82.25,79.11,82.24,77.98,78.19,79.28,66.15,63.42,63.87,60.24,56.35,57.28
7203020,Fayetteville High School East,22.69,23.95,23.55,24.12,24.25,22.97,23.45,72.35,74.87,72.39,66.88,67.72,67.95,61.03,65.1,64.04,58.63,55.87,56.38
7203022,Holcomb Elementary School,N/A,N/A,N/A,N/A,N/A,N/A,N/A,79.94,76.46,76.99,77.92,76.19,77.41,70.22,64.21,65.32,69.69,61.21,60.35
7203023,Vandergriff Elementary School,N/A,N/A,N/A,N/A,N/A,N/A,N/A,87.21,84.91,85.88,87.62,83.09,83.2,78.9,74.71,73.95,78.46,65.09,73.72
7203024,McNair Middle School,N/A,N/A,N/A,N/A,N/A,N/A,N/A,82.58,83.56,86.12,77.22,81.13,80,67.53,69.43,69.03,66.72,60.42,61.87
7203025,Holt Middle School,N/A,N/A,N/A,N/A,N/A,N/A,N/A,79.27,74.91,74.52,65.88,71.87,71.4,58.15,58.41,56.93,51.21,51.73,49.66
7203027,Owl Creek School,N/A,N/A,N/A,N/A,N/A,N/A,N/A,77.85,72.52,70.78,64.65,64.9,67.39,57.46,54.87,51.76,50.33,44.96,43.21
7204027,Greenland Elementary School,N/A,N/A,N/A,N/A,N/A,N/A,N/A,69.05,68.76,70.84,64.19,63.82,64.42,63.01,55.35,61.22,66.63,44.08,59.96
7204028,Greenland High School,20.06,18.71,19.1,20.24,18.6,17.6,19.48,67.7,64.74,62.98,59.95,59.25,62.87,52.88,48.91,47.65,49.95,43.97,50.84
7204029,Greenland Middle School,N/A,N/A,N/A,N/A,N/A,N/A,N/A,68.46,66.16,65.62,61.56,61.32,68.76,54.16,52.99,55.8,53.54,46.91,59.22
7205031,Lincoln Elementary School,N/A,N/A,N/A,N/A,N/A,N/A,N/A,72.78,74.96,72.85,63.91,64.55,67.74,74.79,76.95,78.27,64.47,66.4,69.5
7205033,Lincoln Middle School,N/A,N/A,N/A,N/A,N/A,N/A,N/A,72.56,69.64,68.65,67.19,66.84,67.51,59.26,58.53,55.87,59.55,58.37,61.58
7205706,Lincoln New Tech High School,18.34,18.54,18.65,18.38,18.54,18.34,18.68,68.12,65.88,66.41,62.83,57.76,60.07,50.99,52.88,55.69,51.47,45.82,54.42
7206035,Prairie Grove Elem. School,N/A,N/A,N/A,N/A,N/A,N/A,N/A,69.67,71.13,74.28,71.36,70.76,71.33,54.83,65.51,68.57,74.2,71.46,80.77
7206036,Prairie Grove High School,21.62,N/A,N/A,N/A,N/A,N/A,N/A,72.61,N/A,N/A,N/A,N/A,N/A,60.21,N/A,N/A,N/A,N/A,N/A
7206038,Prairie Grove Middle School,N/A,N/A,N/A,N/A,N/A,N/A,N/A,77.55,73.95,72.66,69.56,72.41,70.04,55.95,57.13,56.03,58.7,58.88,61.88
7206039,Prairie Grove Intermediate,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
7207040,Elmdale Elementary School,N/A,N/A,N/A,N/A,N/A,N/A,N/A,71.06,67.26,69.73,66.39,61.33,57.18,50.69,46.61,54.32,47.55,44.07,37.17
7207041,Jones Elementary School,N/A,N/A,N/A,N/A,N/A,N/A,N/A,73.76,69.82,69.42,65.58,62.47,62.5,51.21,49.48,53.96,47.19,44.76,43.13
7207042,Robert E. Lee Elem. School,N/A,N/A,N/A,N/A,N/A,N/A,N/A,66.92,68.32,69.15,60.69,N/A,N/A,46.73,49.21,53.67,40.95,N/A,N/A
7207044,John Tyson Elementary School,N/A,N/A,N/A,N/A,N/A,N/A,N/A,82.13,79.21,78.18,77.53,78.33,80.49,58.66,61.17,61.17,61.25,58.37,60.93
7207046,Westwood Elementary School,N/A,N/A,N/A,N/A,N/A,N/A,N/A,74.8,70.86,69.69,66.74,64.29,63.25,51.29,47.12,50.19,46.95,47.64,45.41
7207047,Central Junior High School,N/A,N/A,N/A,N/A,N/A,N/A,N/A,74.18,73.62,74.39,73.38,71.08,72.11,62.85,63.48,65.65,66.18,62.53,59.7
7207048,Southwest Junior High School,N/A,N/A,N/A,N/A,N/A,N/A,N/A,75.94,71.29,70.61,67.19,65.98,63.64,61.32,58.48,56.93,55.78,55.07,53.78
7207049,Springdale High School,18.65,18.48,18.59,18.18,18.1,16.96,17.98,62.55,63.06,61.46,55.75,55.49,57.16,47.7,47.38,48.21,43.68,41.35,45.39
7207050,Parson  Hills Elem. School,N/A,N/A,N/A,N/A,N/A,N/A,N/A,67.85,69.22,67.74,62.59,61.75,62.61,43.49,46.75,49.21,42.41,43.82,43.48
7207051,Thurman G. Smith Elem. School,N/A,N/A,N/A,N/A,N/A,N/A,N/A,73.02,70.2,70.35,67.62,68.62,69.61,53.47,50.03,55.95,52.15,52.67,50.97
7207052,Walker Elementary School,N/A,N/A,N/A,N/A,N/A,N/A,N/A,81.19,80.22,81.45,75.1,70.81,69.41,62.64,63.86,63.58,60.72,52.12,51.52
7207053,George Elementary School,N/A,N/A,N/A,N/A,N/A,N/A,N/A,75.81,72.95,75.35,74.14,69.19,67.03,57.78,57.42,58.54,54.51,49.5,46.59
7207054,J. O. Kelly Middle School,N/A,N/A,N/A,N/A,N/A,N/A,N/A,76.61,72.51,67.56,62.5,60.6,62.04,51.88,50.45,47.96,39.84,38.4,38.04
7207055,Helen Tyson Middle School,N/A,N/A,N/A,N/A,N/A,N/A,N/A,78.07,74.98,76.33,70.78,68.3,69.4,57.43,58.22,57.26,53.67,49,49.84
7207057,Bernice Young Elementary,N/A,N/A,N/A,N/A,N/A,N/A,N/A,88.57,83.64,86.62,82.53,80.68,78.58,70.2,70.35,71.18,67.07,64.21,61.85
7207058,Harp Elementary School,N/A,N/A,N/A,N/A,N/A,N/A,N/A,78.17,74,75.87,70.74,67.84,69.16,57.07,54.79,55.07,45.61,44.12,48.49
7207059,Bayyari Elementary School,N/A,N/A,N/A,N/A,N/A,N/A,N/A,72.51,69.7,67.21,65.39,69.27,67.04,52.77,54.85,53.85,48.36,47.28,48.84
7207060,George Junior High School,N/A,N/A,N/A,N/A,N/A,N/A,N/A,63.34,61.73,64.57,60.52,59.45,59.25,49.22,53.65,57.01,48.92,47.18,51.65
7207061,Hellstern Middle School,N/A,N/A,N/A,N/A,N/A,N/A,N/A,84.15,81.82,77.77,77.83,78.12,77.8,66.21,66.78,61.15,60.92,62.04,61.43
7207062,Har-Ber High School,20.46,20.46,20.84,20.11,20.44,20.29,20.49,68.54,67.57,68.28,65.19,66.35,65.26,55.02,54.63,54.43,52.81,51.96,55.21
7207063,Hunt Elementary School,N/A,N/A,N/A,N/A,N/A,N/A,N/A,87.8,84.01,84.66,82.92,79.19,80.18,70.95,67.31,68.55,66.18,60.74,57.63
7207064,Turnbow Elementary School,N/A,N/A,N/A,N/A,N/A,N/A,N/A,76.56,73.69,71.61,68.03,68.16,69.88,54.87,53.64,51.79,49.31,48.01,50.38
7207065,Monitor Elementary,N/A,N/A,N/A,N/A,N/A,N/A,N/A,74.3,72.67,71.72,68.43,66.08,71.13,54.06,53.04,53.11,47.4,45.51,49.53
7207066,Willis Shaw Elementary Sch,N/A,N/A,N/A,N/A,N/A,N/A,N/A,78.75,73.14,76.96,73.96,76.29,77.46,65.15,60.59,65.12,63.78,62.62,59.13
7207067,Springdale Alternative School,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
7207068,Sonora Elementary School,N/A,N/A,N/A,N/A,N/A,N/A,N/A,78.86,76.09,72.17,70.73,68.15,67.41,57.9,57.2,60,58.73,55.26,52.32
7207069,Sonora Middle School,N/A,N/A,N/A,N/A,N/A,N/A,N/A,73.61,69.18,69.24,65.29,62.33,64.18,54.76,51.24,52.69,48.64,36.57,46.39
7207070,Lakeside Junior High School,N/A,N/A,N/A,N/A,N/A,N/A,N/A,65.96,64.7,61.69,58.93,58.49,59.41,50.79,52.11,49.92,49.82,51.15,46.44
7208060,West Fork Elementary School,N/A,N/A,N/A,N/A,N/A,N/A,N/A,68.05,68.49,66.29,60.52,65.03,64.91,64.15,62.63,59.23,61.61,50.42,47.19
7208061,West Fork Middle School,N/A,N/A,N/A,N/A,N/A,N/A,N/A,73.35,68.67,69.92,59.79,63.61,63.71,54.44,52.7,52.5,47.79,48.65,47.75
7208062,West Fork High School,20.1,19.72,18.95,19.67,18.57,18.96,18.46,63.67,66.48,66.73,62.09,60.61,64.38,49.27,50.87,55.2,54.61,50.98,56.65
7240703,Haas Hall Academy,29.58,29.63,28.81,28.3,28.04,27.73,28.14,98.3,97.4,96.37,92.74,92.88,92.73,85.9,84.5,82.54,79.35,80.65,82.93
7301001,H.L. Lubker Elementary School,N/A,N/A,N/A,N/A,N/A,N/A,N/A,67.91,69.5,65.97,64.12,67.35,62.81,55.36,52.1,49.52,54.48,52.21,45.19
7301003,Bald Knob High School,20.28,18.58,19.23,19.43,18.64,18.65,19.83,67.61,65.56,60.16,62.62,62.84,63.48,51.57,49.22,49.05,51.95,44.7,47.88
7301004,Bald Knob Middle School,N/A,N/A,N/A,N/A,N/A,N/A,N/A,69.89,64.54,63.34,64.87,65.03,67.73,52.85,46.82,47.58,50.82,47.58,49.24
7302008,Beebe Elementary School,N/A,N/A,N/A,N/A,N/A,N/A,N/A,68.38,68.88,69.54,66.47,68.98,69.74,46.9,49.14,49.71,56.08,55.27,54.55
7302009,Beebe Junior High School,N/A,N/A,N/A,N/A,N/A,N/A,N/A,77.08,70.85,74.34,71.85,69.99,70.62,56.12,51.3,55.66,57.28,55.08,54.07
7302010,Beebe High School,21.35,21.35,21.29,19.85,20.43,19.55,19.58,68.75,68.33,68.63,65.07,68.32,68.13,53.24,52.03,55.68,53.81,55,54.56
7302011,Beebe Middle School,N/A,N/A,N/A,N/A,N/A,N/A,N/A,75.46,71.12,70.43,65.04,70.05,66.29,57.79,55.57,54.58,48.54,53.56,47.38
7302013,Badger Elementary,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
7302014,Beebe Early Childhood,N/A,N/A,N/A,N/A,N/A,N/A,N/A,69.11,70.25,70.36,70.48,71.44,70.43,51.83,58.27,55.22,82.85,71.67,59.14
7302703,Badger Academy,18,16.63,16.56,N/A,N/A,N/A,N/A,38.93,38.42,42.4,N/A,N/A,N/A,19.68,20.3,22.52,N/A,N/A,N/A
7303014,Bradford Elementary School,N/A,N/A,N/A,N/A,N/A,N/A,N/A,64.66,63.71,63.64,57.68,61.71,62.16,55.34,51.35,51.52,43.65,48.6,57.38
7303015,Bradford High School,18.69,18.39,19.72,19.29,17.83,17.08,17.71,71.27,66.72,66.01,60.64,64.46,64.45,54.98,51.43,52.63,48.96,49.17,52.74
7304018,White Co. Central Elem. School,N/A,N/A,N/A,N/A,N/A,N/A,N/A,64.94,65.25,68.21,66.82,66.25,68.73,61.33,55.37,54.08,61.04,49.47,55.54
7304019,White Co. Central High School,20,18.39,17.65,17.13,18.15,16.42,18.58,64.43,63.64,65.98,64.81,63.81,65.92,52.61,49.71,48.77,53.47,48,54.46
7307026,Judsonia Elementary School,N/A,N/A,N/A,N/A,N/A,N/A,N/A,68.82,62.41,58.98,61.36,63.58,64.8,51.59,45.59,43.38,50.5,46.03,47.68
7307030,Kensett Elementary School,N/A,N/A,N/A,N/A,N/A,N/A,N/A,67.28,62.63,65.45,57.73,61.22,63.92,51.23,48,52.66,45.31,47.87,48.51
7307032,Riverview High School,18.27,18.69,18.76,16.94,18.13,17.44,17.43,60.11,58.27,66.17,59.34,61.57,55.61,50.33,49.21,56.26,48.85,52.59,40.1
7307033,Riverview Junior High School,N/A,N/A,N/A,N/A,N/A,N/A,N/A,72.96,67.14,70.71,61.94,62.58,59.92,53.13,51.67,59.81,48.89,47.6,47.59
7309038,Pangburn Elementary School,N/A,N/A,N/A,N/A,N/A,N/A,N/A,75.99,70.55,70.98,63.07,67.72,64.84,66.07,59.07,57.56,53.98,48.05,48.34
7309039,Pangburn High School,19.84,19.36,19.33,18.45,18.58,19.08,18.53,68.35,71.66,71.34,66.99,71.04,70.67,54.81,58.27,59.4,57.97,58.47,59.61
7310042,Rose Bud Elementary School,N/A,N/A,N/A,N/A,N/A,N/A,N/A,74.49,75.09,73.93,68.02,64.94,68.65,56.74,55.75,55.14,59.87,48,51.75
7310043,Rose Bud High School,18.43,19.78,18.2,19.75,17.4,18.34,18.47,68.11,69.8,68.21,63.83,67.94,68.09,54.47,57.06,56.16,53.37,50.51,48.61
7311046,Sidney Deener Elem. School,N/A,N/A,N/A,N/A,N/A,N/A,N/A,72.4,75.32,72.23,70.39,70.22,64.94,59.51,57.79,60.23,64.08,51.8,47.46
7311047,McRae Elementary School,N/A,N/A,N/A,N/A,N/A,N/A,N/A,69.8,72.61,74.06,71.16,69.16,72.51,58.64,60.65,64.23,70.84,60.5,57.1
7311051,Ahlf Junior High School,N/A,N/A,N/A,N/A,N/A,N/A,N/A,77.6,75.05,73.36,69.81,67.9,67.99,59.43,59.15,55.62,57.4,48.77,53.98
7311052,Searcy High School,22.97,21.84,21.22,21.02,21.42,20.83,21.38,69.62,68.64,66.3,65.27,68.65,68.74,61.08,55.52,54.1,56.09,56.11,58.53
7311053,Westside Elementary School,N/A,N/A,N/A,N/A,N/A,N/A,N/A,87.84,80.56,82.49,74.26,79.43,79.12,69.3,70.61,72.61,76.56,71.94,66.98
7311054,Southwest Middle School,N/A,N/A,N/A,N/A,N/A,N/A,N/A,79.47,76.65,76.3,70.18,71.82,75.79,58.83,58.67,58.34,52.82,52.06,54.41
7401001,Augusta Elementary School,N/A,N/A,N/A,N/A,N/A,N/A,N/A,63.65,61.02,60.6,59.1,61.46,61.89,54.16,48.03,47.56,49.67,45.19,46.33
7401003,Augusta High School,16.41,18.16,15.33,15.58,17.13,15.5,17.79,64.69,63.27,60.74,59.73,58.13,60.2,45.23,49.49,44.03,46.67,39.68,42.98
7401007,Cotton Plant Elementary School,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
7403012,McCrory Elementary School,N/A,N/A,N/A,N/A,N/A,N/A,N/A,83.4,79.11,81.2,74.67,71.62,71.62,66.22,60.13,65.29,64.32,57.04,55.84
7403013,McCrory High School,20.11,19.28,20.38,20.86,20.22,18.77,19.42,73.75,68.53,67.18,68.14,68.42,66.82,58.41,55.1,54.76,56.62,50.28,50.62
7503005,S.C. Tucker Elementary School,N/A,N/A,N/A,N/A,N/A,N/A,N/A,79.04,79.35,78.33,74.6,80.26,81.87,70.11,67.85,71.01,62.2,66.96,67.98
7503006,Danville High School,18.41,19.84,18.54,19.98,19.64,18.87,19,70.18,72.22,73.22,73.37,71.6,70.65,54.86,58.58,60.18,68.06,65.27,64.84
7503007,Danville Middle School,N/A,N/A,N/A,N/A,N/A,N/A,N/A,69.84,73.58,72.45,68.03,70.24,67.24,59.13,65.38,59.63,58.15,56.9,53.42
7504009,Dardanelle Elementary School,N/A,N/A,N/A,N/A,N/A,N/A,N/A,80.34,77.3,76.37,73.74,68.24,67.12,59.38,57.63,59.71,53.74,48.61,49.27
7504010,Dardanelle Middle School,N/A,N/A,N/A,N/A,N/A,N/A,N/A,76.62,74.81,69.43,68.7,67.74,68.46,60.01,56.46,52.63,53.32,51.99,50.08
7504011,Dardanelle High School,21.4,21.45,20.22,20.9,22.03,21.27,21.89,68.89,71.34,69.36,69.32,72.33,71.27,51.97,56.94,53.41,56.07,59.76,62.07
7504013,Dardanelle Primary School,N/A,N/A,N/A,N/A,N/A,N/A,N/A,73.09,78.13,73.44,69.04,70.1,68.46,58.94,60.7,57.36,61.28,50.53,47
7509030,Western Yell Co. Elem. School,N/A,N/A,N/A,N/A,N/A,N/A,N/A,63.63,62.76,64.9,58.88,68.52,68.68,44.17,49.16,51.16,42.35,51.77,48.01
7509033,Western Yell Co. High School,19.35,18.23,16.43,18.29,18.29,17.86,15.81,64.7,65.19,67.01,56.12,62.76,60.86,52.26,52.98,53.11,39.11,44.1,39.66
7510019,Two Rivers High School,19.76,18.47,17.66,17.35,18.26,17.88,18.15,65.31,63.1,62.76,58.36,61.42,59.83,49.06,46.49,42.57,42.72,42.12,43.65
7510024,Two Rivers Elementary School,N/A,N/A,N/A,N/A,N/A,N/A,N/A,68.14,68.1,66.64,57.61,60.75,60.32,60.87,52.09,53.44,46.84,38.43,40.76
